Temporada,Total de Pontos por Jogo,Total de Assistências por Jogo,Total de Rebotes por Jogo,Total de Cestas de 3 Pontos Convertidas,Total de Derrotas em Casa,Total de Derrotas Fora de Casa
2023-24,9050,2102,3613,1089,21,29
2024-25,4764,1124,1826,626,14,17
