Temporada,Total de Roubos de Bola,Total de Rebotes Defensivos,Média de Tocos por Jogo,Média de Erros por Jogo,Média de Faltas por Jogo
2023-24,556,2675,5.17,12.32,18.49
2024-25,327,1374,3.73,14.24,20.47
