Métrica,Quantidade,Data
Total de Vitórias,14,2025-01-23 23:17:14
Total de Vitórias em Casa,5,2025-01-23 23:17:14
Total de Vitórias Fora de Casa,9,2025-01-23 23:17:14
Total de Derrotas,31,2025-01-23 23:17:14
Total de Derrotas em Casa,14,2025-01-23 23:17:14
Total de Derrotas Fora de Casa,17,2025-01-23 23:17:14
