Time,Conferência,Ranking,Vitórias,Derrotas,Porcentagem de Vitórias
Thunder,West,1,35,7,0.833
Rockets,West,2,28,14,0.667
Grizzlies,West,3,28,15,0.651
Nuggets,West,4,27,16,0.628
Clippers,West,5,24,18,0.571
Lakers,West,6,23,18,0.561
Kings,West,7,22,20,0.524
Timberwolves,West,8,23,21,0.523
Mavericks,West,9,23,21,0.523
Suns,West,10,22,21,0.512
Warriors,West,11,21,21,0.5
Spurs,West,12,19,22,0.463
Trail Blazers,West,13,15,28,0.349
Pelicans,West,14,12,32,0.273
Jazz,West,15,10,31,0.244
