Temporada,Total de Rebotes,Total de Rebotes Ofensivos,Total de Rebotes Defensivos,Total de Pontos,Total de Cestas de 2 Pontos,Total de Cestas de 3 Pontos,Total de Lances Livres
2023-24,3613,938,2675,9050,2245,1089,1293
2024-25,1774,432,1342,4680,1043,619,737
